course-code,course-title,credits,description,mortarboard,Requisites:
ACCT I S 100,INTRODUCTORY FINANCIAL ACCOUNTING,3,"Examines generally accepted accounting principles for measurement and reporting of financial information in a balance sheet, income statement, and statement of cash flows; introduction to analysis and interpretation of financial accounting data for decision-making purposes.",False,Not open to students with credit for ACCT I S 300
ACCT I S 211,INTRODUCTORY MANAGERIAL ACCOUNTING,3,"Managerial accounting concepts relevant for decision-making; use of accounting information for planning, decision-making, and control of business operations in various management and business environments.",False,ACCT I S 100 or declared in undergraduate Business Exchange program
ACCT I S 300,ACCOUNTING PRINCIPLES,3,"Examines both financial and managerial accounting for business decisions. Emphasizes preparation and interpretation of financial statements, analysis of financial information, determination of costs for products and services, and use of accounting information for planning and control of business operations.",True,Satisfied Quantitative Reasoning (QR) A requirement. Not open to students with credit for .
ACCT I S 301,FINANCIAL REPORTING I,3,"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users. Emphasizes asset and income determination, preparation and interpretation of financial statements, and related disclosure requirements.",False,ACCT I S 100 or declared in undergraduate Business Exchange program
ACCT I S 302,FINANCIAL REPORTING II,3,"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users, including dilutive securities, investments, revenue recognition, income tax allocation, pensions, leases and accounting changes.",False,ACCT I S 301 or declared in undergraduate Business Exchange program
ACCT I S 310,COST MANAGEMENT SYSTEMS,3,"Design of actual and standard cost systems for reporting product costs in job costing, process costing, and activity costing production environments. Overhead allocation methods. Budgeting and profit planning procedures. Techniques for variance analysis and performance evaluation. Behavioral considerations in the design and use of cost accounting information systems.",False,ACCT I S 211 or declared in undergraduate Business Exchange program
ACCT I S/LAW  329,TAXATION: CONCEPTS FOR BUSINESS AND PERSONAL PLANNING,3,"An introduction to the U.S. income taxation concepts with emphasis on business and personal planning strategies. Taxes are placed in a framework which considers all costs of doing business. Includes approaches and skills needed to prepare individual, corporate, and partnership income tax returns.",False,"ACCT I S 100, 300, or LAW 811. Not open to students declared in Business: Accounting BBA program"
ACCT I S 340,ACCOUNTING INFORMATION SYSTEMS,3,"Understand, document, and evaluate integrated enterprise systems and critical information tracked in core business processes, applying technology to model, capture, and query data needed, and assess system design and controls.",False,ACCT I S 211 and (ACCT I S 301 or concurrent enrollment); or declared in undergraduate Business Exchange program
ACCT I S 399,READING AND RESEARCH-ACCOUNTING,1-6,Individual work suited to the needs of undergraduate students may be arranged with a faculty member.,False,Consent of instructor
ACCT I S 406,ACCOUNTING AND ANALYSIS FOR REPORTING ENTITIES,3,"Theoretical, procedural, and practical issues associated with the preparation of financial statements of alternative reporting entities, including the accounting for mergers and acquisitions, consolidations, foreign operations, and complex financial instruments.",False,"ACCT I S 302, 702, declared in Business: Accounting and Business Analysis MSB, or declared in the Business Exchange program"
ACCT I S 600,PROFESSIONAL EXPERIENCE IN ACCOUNTING,1-6,An opportunity to experience a professional accounting practice first hand and to integrate this experience with the curriculum.,False,None
ACCT I S 601,"PROFESSIONAL PRACTICE ISSUES IN ACCOUNTING, AUDITING, AND TAXATION",3,"Study of current accounting and audit issues within a case context. Students will be required to perform computerized research, analyze topical accounting and audit issues, and make case presentations.",False,None
ACCT I S 603,FINANCIAL STATEMENT ANALYSIS,3,"Analysis and interpretation of financial statements, including profitability and ratio analysis, cash flow analysis, accounting-based equity valuation, market impact of accounting choices, earnings quality, earnings management, mergers and acquisitions, intangibles, accounting-based trading strategies, accounting and credit ratings, and international accounting.",False,ACCT I S 302 or 702
